Barangays,10 Digit Code,Municipality,10 Digit Code
Begia,504106002,Cawayan,504106000
Cabayugan,504106003,,
Cabungahan,504106004,,
Calapayan,504106005,,
Calumpang,504106006,,
Dalipe,504106007,,
Divisoria,504106008,,
Guiom,504106009,,
Gilotongan,504106010,,
Itombato,504106011,,
Libertad,504106012,,
Looc,504106013,,
Mactan,504106014,,
Madbad,504106015,,
R.M. Magbalon,504106016,,
Mahayahay,504106017,,
Maihao,504106018,,
Malbug,504106019,,
Naro,504106020,,
Pananawan,504106021,,
Poblacion,504106022,,
Pulot,504106023,,
Recodo,504106024,,
San Jose,504106025,,
San Vicente,504106026,,
Taberna,504106027,,
Talisay,504106028,,
Tuburan,504106029,,
Villahermosa,504106030,,
Chico Island,504106031,,
Lague-lague,504106032,,
Palobandera,504106033,,
Peña Island,504106034,,
Pin-As,504106035,,
Iraya,504106036,,
Punta Batsan,504106037,,
Tubog,504106038,,
