Barangays,10 Digit Code,Municipality,10 Digit Code
Albasan,504107001,Claveria,504107000
Boca Engaño,504107002,,
Buyo,504107003,,
Calpi,504107004,,
Canomay,504107005,,
Cawayan,504107006,,
Poblacion District I,504107007,,
Poblacion District II,504107008,,
Mababang Baybay,504107009,,
Mabiton,504107010,,
Manapao,504107011,,
Nabasagan,504107012,,
Nonoc,504107013,,
Osmeña,504107014,,
Pasig,504107015,,
Peñafrancia,504107016,,
Quezon,504107017,,
San Isidro,504107018,,
San Ramon,504107019,,
San Vicente,504107020,,
Taguilid,504107021,,
Imelda,504107022,,
