Barangays,10 Digit Code,Municipality,10 Digit Code
Alas,504110001,Mandaon,504110000
Ayat,504110002,,
Bat-Ongan,504110003,,
Bugtong,504110004,,
Buri,504110005,,
Cabitan,504110006,,
Cagmasoso,504110007,,
Canomoy,504110008,,
Centro,504110009,,
Dayao,504110010,,
Guincaiptan,504110011,,
Lantangan,504110012,,
Looc,504110013,,
Mabatobato,504110014,,
Maolingon,504110015,,
Nailaban,504110016,,
Nanipsan,504110017,,
Pinamangcaan,504110018,,
Poblacion,504110019,,
Polo Dacu,504110020,,
San Juan,504110021,,
San Pablo,504110022,,
Santa Fe,504110023,,
Tagpu,504110024,,
Tumalaytay,504110025,,
Laguinbanwa,504110026,,
