Barangays,10 Digit Code,Municipality,10 Digit Code
Bacolod,504112001,Milagros,504112000
Bangad,504112002,,
Bara,504112003,,
Bonbon,504112004,,
Calasuche,504112005,,
Calumpang,504112006,,
Capaculan,504112007,,
Cayabon,504112008,,
Guinluthangan,504112009,,
Jamorawon,504112010,,
Magsalangi,504112011,,
Matagbac,504112012,,
Matanglad,504112013,,
Matiporon,504112014,,
Moises R. Espinosa,504112015,,
Narangasan,504112016,,
Pamangpangon,504112018,,
Poblacion East,504112019,,
Poblacion West,504112020,,
Paraiso,504112021,,
San Antonio,504112022,,
San Carlos,504112023,,
Sawmill,504112024,,
Tagbon,504112025,,
Tawad,504112026,,
