Barangays,10 Digit Code,Municipality,10 Digit Code
Baang,504113001,Mobo,504113000
Bagacay,504113002,,
Balatucan,504113003,,
Barag,504113004,,
Dacu,504113005,,
Fabrica,504113006,,
Guintorelan,504113007,,
Holjogon,504113008,,
Lalaguna,504113009,,
Lomocloc,504113010,,
Luyong Catungan,504113011,,
Mabuhay,504113012,,
Mandali,504113013,,
Mapuyo,504113014,,
Marintoc,504113015,,
Nasunduan,504113016,,
Pinamalatican,504113017,,
Pinamarbuhan,504113018,,
Poblacion Dist. I,504113019,,
Poblacion Dist. II,504113020,,
Polot,504113021,,
Sambulawan,504113022,,
Santa Maria,504113023,,
Sawmill,504113024,,
Tabuc,504113025,,
Tugawe,504113026,,
Tugbo,504113027,,
Umabay Exterior,504113028,,
Umabay Interior,504113029,,
