Barangays,10 Digit Code,Municipality,10 Digit Code
Antipolo,504115001,Palanas,504115000
Banco,504115003,,
Biga-a,504115004,,
Bontod,504115005,,
Buenasuerte,504115006,,
Intusan,504115007,,
Jose A. Abenir Sr.,504115008,,
Maanahao,504115009,,
Mabini,504115010,,
Malibas,504115011,,
Maravilla,504115012,,
Matugnao,504115013,,
Miabas,504115014,,
Nabangig,504115015,,
Nipa,504115016,,
Parina,504115017,,
Piña,504115018,,
Poblacion,504115019,,
Salvacion,504115020,,
San Antonio,504115021,,
San Carlos,504115022,,
San Isidro,504115023,,
Santa Cruz,504115024,,
Malatawan,504115025,,
