Barangays,10 Digit Code,Municipality,10 Digit Code
Aguada,504117001,Placer,504117000
Ban-Ao,504117002,,
Burabod,504117003,,
Cabangcalan,504117004,,
Calumpang,504117005,,
Camayabsan,504117006,,
Daanlungsod,504117008,,
Dangpanan,504117009,,
Daraga,504117010,,
Guin-Awayan,504117011,,
Guinhan-Ayan,504117012,,
Katipunan,504117013,,
Libas,504117014,,
Locso-An,504117015,,
Luna,504117016,,
Mahayag,504117017,,
Mahayahay,504117018,,
Manlut-Od,504117019,,
Matagantang,504117020,,
Naboctot,504117021,,
Nagarao,504117022,,
Nainday,504117023,,
Naocondiot,504117024,,
Pasiagon,504117025,,
Pili,504117026,,
Poblacion,504117027,,
Puro,504117028,,
Quibrada,504117029,,
San Marcos,504117030,,
Santa Cruz,504117031,,
Taboc,504117032,,
Tan-Awan,504117033,,
Taverna,504117034,,
Tubod,504117035,,
Villa Inocencio,504117036,,
