Barangays,10 Digit Code,Municipality,10 Digit Code
Altavista,504118001,San Fernando,504118000
Benitinan,504118002,,
Buenasuerte,504118003,,
Buenavista,504118004,,
Buenos Aires,504118005,,
Buyo,504118006,,
Cañelas,504118007,,
Corbada,504118008,,
Daplian,504118009,,
Del Rosario,504118010,,
Ipil,504118011,,
Lahong,504118012,,
Lumbia,504118013,,
Magkaipit,504118014,,
Minio,504118015,,
Pinamoghaan,504118016,,
Baybaydagat Pob.,504118017,,
Silangan Pob.,504118018,,
Magsasaka Pob.,504118019,,
Bayanihan Pob.,504118020,,
Progreso,504118021,,
Resurreccion,504118022,,
Salvacion,504118023,,
Sowa,504118024,,
Talisay,504118025,,
Valparaiso,504118026,,
