Barangays,10 Digit Code,Municipality,10 Digit Code
Almiñe,504119001,San Jacinto,504119000
Bagacay,504119002,,
Bagahanglad,504119003,,
Bartolabac,504119004,,
Burgos,504119005,,
Calipat-An,504119006,,
Danao,504119007,,
Dorong-an Daplian,504119008,,
Interior,504119009,,
Jagna-an,504119010,,
Luna,504119011,,
Mabini,504119012,,
Piña,504119013,,
District I (Pob.),504119014,,
District II (Pob.),504119015,,
District III (Pob.),504119016,,
District IV (Pob.),504119017,,
Roosevelt,504119018,,
San Isidro,504119019,,
Santa Rosa,504119020,,
Washington,504119021,,
