Barangays,10 Digit Code,Municipality,10 Digit Code
Boca Chica,504120001,San Pascual,504120000
Bolod (Pob.),504120002,,
Busing,504120003,,
Dangcalan,504120004,,
Halabangbaybay,504120005,,
Iniwaran,504120006,,
Ki-Buaya,504120007,,
Ki-Romero,504120008,,
Laurente,504120009,,
Mabini,504120010,,
Mabuhay,504120011,,
Mapanique,504120013,,
Nazareno,504120014,,
Pinamasingan,504120015,,
Quintina,504120016,,
San Jose,504120019,,
San Pedro,504120020,,
San Rafael,504120021,,
Santa Cruz,504120022,,
Terraplin (Pob.),504120023,,
Cueva,504120024,,
Malaking Ilog,504120025,,
