Barangays,10 Digit Code,Municipality,10 Digit Code
Arado,504121001,Uson,504121000
Armenia,504121002,,
Aurora,504121003,,
Badling,504121004,,
Bonifacio,504121005,,
Buenasuerte,504121006,,
Buenavista,504121007,,
Campana,504121008,,
Candelaria,504121009,,
Centro,504121010,,
Crossing,504121011,,
Dapdap,504121012,,
Del Carmen,504121013,,
Del Rosario,504121014,,
Libertad,504121015,,
Madao,504121016,,
Mabini,504121017,,
Magsaysay,504121018,,
Marcella,504121019,,
Miaga,504121020,,
Mongahay,504121021,,
Morocborocan,504121022,,
Mabuhay,504121023,,
Paguihaman,504121024,,
Panicijan,504121025,,
Poblacion,504121026,,
Quezon,504121027,,
San Isidro,504121028,,
San Jose,504121029,,
San Mateo,504121030,,
San Ramon,504121031,,
San Vicente,504121032,,
Santo Cristo,504121033,,
Sawang,504121034,,
Simawa,504121035,,
