Barangays,10 Digit Code,City,10 Digit Code
Abuyog,506216001,City of Sorsogon (Capital),506216000
Almendras-Cogon (Pob.),506216002,,
Balogo,506216003,,
Barayong,506216004,,
Basud,506216005,,
Bibincahan,506216006,,
Bitan-o/Dalipay (Pob.),506216008,,
Bucalbucalan,506216009,,
Buenavista,506216010,,
Buhatan,506216011,,
Bulabog,506216012,,
Burabod (Pob.),506216013,,
Cabid-An,506216014,,
Cambulaga,506216015,,
Capuy,506216016,,
Gimaloto,506216017,,
Guinlajon,506216018,,
Macabog,506216019,,
Marinas,506216020,,
Pamurayan,506216021,,
Pangpang,506216022,,
Panlayaan,506216023,,
Peñafrancia,506216024,,
Piot (Pob.),506216025,,
Polvorista (Pob.),506216026,,
Rizal,506216027,,
Salog (Pob.),506216028,,
Salvacion,506216029,,
Sampaloc (Pob.),506216030,,
San Isidro,506216031,,
San Juan,506216032,,
Sirangan (Pob.),506216033,,
Sulucan (Pob.),506216034,,
Talisay (Pob.),506216035,,
Ticol,506216036,,
Tugos,506216037,,
Balete,506216038,,
Balogo,506216039,,
Bato,506216040,,
Bon-Ot,506216041,,
Bogña,506216042,,
Buenavista,506216043,,
Cabarbuhan,506216044,,
Caricaran,506216045,,
Del Rosario,506216046,,
Gatbo,506216047,,
Jamislagan,506216048,,
Maricrum,506216049,,
Osiao,506216050,,
Poblacion,506216051,,
Rawis,506216052,,
Salvacion,506216053,,
San Isidro,506216054,,
San Juan,506216055,,
San Pascual,506216056,,
San Ramon,506216057,,
San Roque,506216058,,
San Vicente,506216059,,
Santa Cruz,506216060,,
Santa Lucia,506216061,,
Santo Domingo,506216062,,
Santo Niño,506216063,,
Sawanga,506216064,,
Sugod,506216065,,
