Barangays,10 Digit Code,Municipality,10 Digit Code
Alegria,506202002,Barcelona,506202000
Bagacay,506202003,,
Bangate,506202004,,
Bugtong,506202005,,
Cagang,506202006,,
Fabrica,506202008,,
Jibong,506202010,,
Lago,506202011,,
Layog,506202012,,
Luneta,506202013,,
Macabari,506202014,,
Mapapac,506202015,,
Olandia,506202016,,
Paghaluban,506202017,,
Poblacion Central,506202018,,
Poblacion Norte,506202019,,
Poblacion Sur,506202020,,
Putiao,506202021,,
San Antonio,506202022,,
San Isidro,506202023,,
San Ramon,506202024,,
San Vicente,506202025,,
Santa Cruz,506202027,,
Santa Lourdes,506202028,,
Tagdon,506202029,,
