Barangays,10 Digit Code,Municipality,10 Digit Code
A. Bonifacio,506203001,Bulan,506203000
Abad Santos,506203002,,
Aguinaldo,506203003,,
Antipolo,506203004,,
Zone I Pob.,506203005,,
Zone II Pob.,506203006,,
Zone III Pob.,506203007,,
Zone IV Pob.,506203008,,
Zone V Pob.,506203009,,
Zone VI Pob.,506203010,,
Bical,506203011,,
Beguin,506203012,,
Bonga,506203013,,
Butag,506203014,,
Cadandanan,506203015,,
Calomagon,506203016,,
Calpi,506203017,,
Cocok-Cabitan,506203018,,
Daganas,506203019,,
Danao,506203020,,
Dolos,506203021,,
E. Quirino,506203022,,
Fabrica,506203023,,
Gate,506203024,,
Benigno S. Aquino,506203025,,
Inararan,506203026,,
J. Gerona,506203027,,
Jamorawon,506203028,,
Libertad,506203029,,
Lajong,506203030,,
Magsaysay,506203031,,
Managanaga,506203032,,
Marinab,506203033,,
Nasuje,506203034,,
Montecalvario,506203035,,
N. Roque,506203036,,
Namo,506203037,,
Obrero,506203038,,
Osmeña,506203039,,
Otavi,506203040,,
Padre Diaz,506203041,,
Palale,506203042,,
J.P. Laurel,506203045,,
Quezon,506203046,,
R. Gerona,506203047,,
Recto,506203048,,
M. Roxas,506203049,,
Sagrada,506203050,,
San Francisco,506203051,,
San Isidro,506203052,,
San Juan Bag-o,506203053,,
San Juan Daan,506203054,,
San Rafael,506203055,,
San Ramon,506203056,,
San Vicente,506203057,,
Santa Remedios,506203058,,
Santa Teresita,506203059,,
Sigad,506203060,,
Somagongsong,506203061,,
G. Del Pilar,506203062,,
Taromata,506203063,,
Zone VII Pob.,506203064,,
Zone VIII Pob.,506203065,,
