Barangays,10 Digit Code,Municipality,10 Digit Code
Bagacay,506204001,Bulusan,506204000
Central (Pob.),506204002,,
Cogon,506204003,,
Dancalan,506204004,,
Dapdap (Pob.),506204005,,
Lalud,506204006,,
Looban (Pob.),506204007,,
Mabuhay (Pob.),506204008,,
Madlawon (Pob.),506204009,,
Poctol (Pob.),506204010,,
Porog,506204011,,
Sabang (Pob.),506204012,,
Salvacion,506204013,,
San Antonio,506204014,,
San Bernardo,506204015,,
San Francisco,506204016,,
San Isidro,506204017,,
San Jose,506204018,,
San Rafael,506204019,,
San Roque,506204020,,
San Vicente,506204021,,
Santa Barbara,506204022,,
Sapngan (Pob.),506204023,,
Tinampo,506204024,,
