Barangays,10 Digit Code,Municipality,10 Digit Code
Adovis (Pob.),506205001,Casiguran,506205000
Boton,506205002,,
Burgos,506205003,,
Casay,506205004,,
Cawit,506205005,,
Central (Pob.),506205006,,
Colambis,506205007,,
Escuala,506205008,,
Cogon,506205010,,
Inlagadian,506205011,,
Lungib,506205012,,
Mabini,506205013,,
Ponong,506205014,,
Rizal,506205015,,
San Antonio,506205016,,
San Isidro,506205017,,
San Juan,506205018,,
San Pascual,506205019,,
Santa Cruz,506205020,,
Somal-ot (Pob.),506205021,,
Tigbao,506205022,,
Timbayog (Pob.),506205023,,
Tiris,506205024,,
Trece Martirez,506205025,,
Tulay,506205026,,
