Barangays,10 Digit Code,Municipality,10 Digit Code
Amomonting,506206001,Castilla,506206000
Bagalayag,506206002,,
Bagong Sirang,506206003,,
Bonga,506206004,,
Buenavista,506206005,,
Burabod,506206006,,
Caburacan,506206007,,
Canjela,506206008,,
Cogon,506206009,,
Cumadcad,506206010,,
Dangcalan,506206011,,
Dinapa,506206012,,
La Union,506206013,,
Libtong,506206014,,
Loreto,506206015,,
Macalaya,506206016,,
Maracabac,506206017,,
Mayon,506206018,,
Milagrosa,506206019,,
Miluya,506206020,,
Maypangi,506206021,,
Monte Carmelo,506206022,,
Oras,506206023,,
Pandan,506206024,,
Poblacion,506206025,,
Quirapi,506206026,,
Saclayan,506206027,,
Salvacion,506206028,,
San Isidro,506206029,,
San Rafael,506206030,,
San Roque,506206031,,
San Vicente,506206032,,
Sogoy,506206033,,
Tomalaytay,506206034,,
