Barangays,10 Digit Code,Municipality,10 Digit Code
Alin,506207001,Donsol,506207000
Awai,506207002,,
Banban,506207003,,
Bandi,506207004,,
Banuang Gurang,506207005,,
Baras,506207006,,
Bayawas,506207007,,
Bororan Barangay 1 (Pob.),506207008,,
Cabugao,506207009,,
Central Barangay 2 (Pob.),506207010,,
Cristo,506207011,,
Dancalan,506207012,,
De Vera,506207013,,
Gimagaan,506207014,,
Girawan,506207015,,
Gogon,506207016,,
Gura,506207017,,
Juan Adre,506207018,,
Lourdes,506207019,,
Mabini,506207020,,
Malapoc,506207021,,
Malinao,506207022,,
Market Site Barangay 3 (Pob.),506207023,,
New Maguisa,506207024,,
Ogod,506207025,,
Old Maguisa,506207026,,
Orange,506207027,,
Pangpang,506207028,,
Parina,506207029,,
Pawala,506207030,,
Pinamanaan,506207031,,
Poso Pob.,506207032,,
Punta Waling-Waling Pob.,506207033,,
Rawis,506207034,,
San Antonio,506207035,,
San Isidro,506207036,,
San Jose,506207037,,
San Rafael,506207038,,
San Ramon,506207039,,
San Vicente,506207040,,
Santa Cruz,506207041,,
Sevilla,506207042,,
Sibago,506207043,,
Suguian,506207044,,
Tagbac,506207045,,
Tinanogan,506207046,,
Tongdol,506207047,,
Tres Marias,506207048,,
Tuba,506207049,,
Tupas,506207050,,
Vinisitahan,506207051,,
