Barangays,10 Digit Code,Municipality,10 Digit Code
Ariman,506208001,Gubat,506208000
Bagacay,506208002,,
Balud Del Norte (Pob.),506208003,,
Balud Del Sur (Pob.),506208004,,
Benguet,506208006,,
Bentuco,506208007,,
Beriran,506208008,,
Buenavista,506208009,,
Bulacao,506208010,,
Cabigaan,506208011,,
Cabiguhan,506208012,,
Carriedo,506208013,,
Casili,506208014,,
Cogon,506208015,,
Cota Na Daco (Pob.),506208016,,
Dita,506208017,,
Jupi,506208018,,
Lapinig,506208019,,
Luna-Candol (Pob.),506208020,,
Manapao,506208021,,
Manook (Pob.),506208022,,
Naagtan,506208023,,
Nato,506208024,,
Nazareno,506208025,,
Ogao,506208026,,
Paco,506208027,,
Panganiban (Pob.),506208028,,
Paradijon (Pob.),506208029,,
Patag,506208030,,
Payawin,506208031,,
Pinontingan (Pob.),506208033,,
Rizal,506208034,,
San Ignacio,506208035,,
Sangat,506208036,,
Santa Ana,506208037,,
Tabi,506208038,,
Tagaytay,506208039,,
Tigkiw,506208040,,
Tiris,506208041,,
Togawe,506208042,,
Union,506208043,,
Villareal,506208044,,
