Barangays,10 Digit Code,Municipality,10 Digit Code
Bagsangan,506209001,Irosin,506209000
Bacolod (Pob.),506209002,,
Batang,506209003,,
Bolos,506209004,,
Buenavista,506209005,,
Bulawan,506209006,,
Carriedo,506209007,,
Casini,506209008,,
Cawayan,506209009,,
Cogon,506209010,,
Gabao,506209011,,
Gulang-Gulang,506209012,,
Gumapia,506209013,,
Santo Domingo,506209014,,
Liang,506209015,,
Macawayan,506209016,,
Mapaso,506209017,,
Monbon,506209018,,
Patag,506209019,,
Salvacion,506209020,,
San Agustin (Pob.),506209021,,
San Isidro,506209022,,
San Juan (Pob.),506209023,,
San Julian (Pob.),506209024,,
San Pedro,506209025,,
Tabon-Tabon,506209026,,
Tinampo,506209027,,
Tongdol,506209028,,
