Barangays,10 Digit Code,Municipality,10 Digit Code
Anog,506210001,Juban,506210000
Aroroy,506210002,,
Bacolod,506210003,,
Binanuahan,506210004,,
Biriran,506210005,,
Buraburan,506210006,,
Calateo,506210007,,
Calmayon,506210008,,
Carohayon,506210009,,
Catanagan,506210010,,
Catanusan,506210011,,
Cogon,506210012,,
Embarcadero,506210013,,
Guruyan,506210014,,
Lajong,506210016,,
Maalo,506210017,,
North Poblacion,506210019,,
South Poblacion,506210020,,
Puting Sapa,506210021,,
Rangas,506210022,,
Sablayan,506210023,,
Sipaya,506210024,,
Taboc,506210025,,
Tinago,506210026,,
Tughan,506210027,,
