Barangays,10 Digit Code,Municipality,10 Digit Code
Aguada Norte,506211001,Magallanes,506211000
Aguada Sur,506211002,,
Anibong,506211003,,
Bacalon,506211004,,
Bacolod,506211005,,
Banacud,506211006,,
Biga,506211007,,
Behia,506211008,,
Binisitahan del Norte,506211009,,
Binisitahan del Sur,506211010,,
Biton,506211011,,
Bulala,506211012,,
Busay,506211013,,
Caditaan,506211014,,
Cagbolo,506211015,,
Cagtalaba,506211016,,
Cawit Extension,506211017,,
Cawit Proper,506211018,,
Ginangra,506211019,,
Hubo,506211020,,
Incarizan,506211021,,
Lapinig,506211022,,
Magsaysay,506211023,,
Malbog,506211024,,
Pantalan,506211025,,
Pawik,506211026,,
Pili,506211027,,
Poblacion,506211028,,
Salvacion,506211029,,
Santa Elena,506211030,,
Siuton,506211031,,
Tagas,506211032,,
Tulatula Norte,506211033,,
Tulatula Sur,506211034,,
