Barangays,10 Digit Code,Municipality,10 Digit Code
Balocawe,506212001,Matnog,506212000
Banogao,506212002,,
Banuangdaan,506212003,,
Bariis,506212004,,
Bolo,506212005,,
Bon-Ot Big,506212006,,
Bon-Ot Small,506212007,,
Cabagahan,506212008,,
Calayuan,506212010,,
Calintaan,506212011,,
Caloocan (Pob.),506212012,,
Calpi,506212013,,
Camachiles (Pob.),506212014,,
Camcaman (Pob.),506212015,,
Coron-coron,506212016,,
Culasi,506212017,,
Gadgaron,506212018,,
Genablan Occidental,506212020,,
Genablan Oriental,506212021,,
Hidhid,506212022,,
Laboy,506212023,,
Lajong,506212025,,
Mambajog,506212026,,
Manjunlad,506212028,,
Manurabi,506212029,,
Naburacan,506212030,,
Paghuliran,506212031,,
Pangi,506212032,,
Pawa,506212033,,
Poropandan,506212034,,
Santa Isabel,506212035,,
Sinalmacan,506212036,,
Sinang-Atan,506212037,,
Sinibaran,506212038,,
Sisigon,506212039,,
Sua,506212040,,
Sulangan,506212041,,
Tablac (Pob.),506212042,,
Tabunan (Pob.),506212043,,
Tugas,506212044,,
