Barangays,10 Digit Code,Municipality,10 Digit Code
Abas,506213001,Pilar,506213000
Abucay,506213002,,
Bantayan,506213003,,
Banuyo (Pob.),506213004,,
Bayasong,506213005,,
Bayawas,506213006,,
Binanuahan (Pob.),506213007,,
Cabiguan,506213009,,
Cagdongon,506213010,,
Calongay,506213011,,
Calpi,506213012,,
Catamlangan,506213013,,
Comapo-capo,506213014,,
Danlog,506213015,,
Dao (Pob.),506213016,,
Dapdap,506213017,,
Del Rosario,506213018,,
Esmerada,506213019,,
Esperanza,506213020,,
Guiron,506213021,,
Ginablan,506213022,,
Inang,506213023,,
Inapugan,506213024,,
Lubiano,506213025,,
Leona,506213026,,
Lipason,506213027,,
Lourdes,506213028,,
Lungib,506213029,,
Lumbang,506213030,,
Mabanate,506213031,,
Malbog,506213032,,
Marifosque (Pob.),506213033,,
Mercedes,506213034,,
Migabod,506213035,,
Naspi,506213036,,
Palanas,506213037,,
Pangpang,506213038,,
Pinagsalog,506213039,,
Pineda,506213040,,
Poctol,506213042,,
Pudo,506213043,,
Putiao,506213044,,
Sacnangan,506213045,,
Salvacion,506213046,,
San Antonio,506213047,,
San Antonio,506213048,,
San Jose,506213049,,
San Rafael,506213050,,
Santa Fe,506213051,,
