Barangays,10 Digit Code,Municipality,10 Digit Code
Brillante (Pob.),506214001,Prieto Diaz,506214000
Bulawan,506214002,,
Calao,506214003,,
Carayat,506214004,,
Diamante,506214005,,
Gogon,506214006,,
Lupi,506214007,,
Manlabong,506214008,,
Maningcay De Oro,506214010,,
Perlas,506214011,,
Quidolog,506214012,,
Rizal,506214013,,
San Antonio,506214014,,
San Fernando,506214015,,
San Isidro,506214016,,
San Juan,506214017,,
San Rafael,506214018,,
San Ramon,506214019,,
Santa Lourdes,506214020,,
Santo Domingo,506214021,,
Talisayan,506214022,,
Tupaz,506214023,,
Ulag,506214024,,
